produto;codigo;data_compra;mercado;chave_nfce;qtd;unidade;subtotal
LING MISTA PERDIGAO FINA DEF kg ;48095;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;0.542;21.0;11.382000000000001
FILE PEITO FGO SEARA BANDEJA kg ;360128;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;3.0;17.98;53.94
SOBRECOXA FGO SEARA BANDEJA kg ;743006;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;3.0;12.98;38.94
PEITO FGO SADIA EMP TIRA T ERV 400g ;1703764;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;17.98;17.98
BATATA EASYCHEF TRAD CONG 2kg ;1665369;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;19.98;19.98
QUE MUC PRESIDENT FATIADO EMB 1kg ;1589191;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;58.47;58.47
BACON PATA NEGRA kg ;1693331;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;0.382;40.0;15.280000000000001
FILE DE POLACA CAPITAIN FISH 800g ;1919561;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;19.98;19.98
PAO QUEIJO MARICOTA LANCHE 1kg ;1098792;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;11.98;11.98
PEITO BOV FRIBOI PORCIONADO kg ;828031;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.114;27.98;31.16972
COSTELA SALG SUI PATA NEGRA EMB kg ;1493740;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;0.354;35.99;12.74046
CARNE JERKED SUI SALG SEARA CUR400g ;1702965;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;14.99;14.99
CARNE SECA LAGARTO PIRAMBU kg ;1492583;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;0.704;52.98;37.29792
MANTEIGA DOCE HERANCA CSAL 500g ;1824100;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;20.99;20.99
MARGARINA QUALY 500g ;16964;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;8.29;8.29
LEITE L VIDA ITALAC INTEGRAL 1l ;469159;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;3.0;4.69;14.07
LEITE L VIDA ITALAC SEMIDESN 1l ;469173;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;3.0;4.69;14.07
TAPIOCA DA TERRINHA 500g ;1131130;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;3.0;6.87;20.61
ACUCAR UNIAO REFINADO 1kg ;36689;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;4.49;4.49
FEIJAO PRE SUPER MAXIMO 1kg ;1640373;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;3.0;5.99;17.97
IOG LIQ DANONE MORANGO GF 850g ;1975413;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;2.0;8.98;17.96
LEITE PO GLORIA INTEGRAL SACHE 360g ;1123906;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;4.0;12.98;51.92
IOG BATAVO PENSE ZER MAMAO 1,15kg ;1927405;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;17.49;17.49
MIST BOLO FLEISCHMAN LAR SACH 390g ;1805390;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;7.99;7.99
MIST BOLO FLEISCHMAN CHOC SACH 390g ;1805406;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;7.99;7.99
COMP ALIM SUSTAGEN KIDS CH 700gLP- ;1957198;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;46.8;46.8
QUE RALADO QUATA 100g ;17442;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;9.99;9.99
REFRESCO LIQ DAFRUTA SAB UVA 1l ;1709377;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;2.0;4.99;9.98
MIST BOLO FLEISCHMAN PETIGAT CH350g ;1805451;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;7.99;7.99
FAR TRIGO D BENTA ESPECIAL 1kg ;703;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;5.59;5.59
ESPAGUETE GALO SEMOLA N8 1kg ;165358;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;5.95;5.95
VINHO DIVINO BORDO TTO SUAVE 1l ;1829532;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;17.77;17.77
FAR MAND GRANFINO CRUA 1kg ;659;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;1.0;4.99;4.99
MAC INST NISSIN LAMEN GAL CAIP 85g ;313162;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;2.0;2.59;5.18
MAC INST NISSIN LAMEN CARNE 85g ;313230;2025-06-18;Guanabara(Tanque);'33250633130543005575650230005445921007546980;2.0;2.59;5.18
